agency_name_web_scraped_list,placeId,placeId_1,placeId_2,placeId_3,placeId_4,placeId_5,placeId_6,placeId_7,placeId_8,placeId_9,placeId_10,placeId_11,placeId_12,placeId_13,placeId_14,placeId_15,placeId_16,placeId_17,placeId_18,placeId_19,placeId_20
Women In Safe Homes,ChIJIe20Y68lDFQRSrbMsQhXTKg,ChIJIe20Y68lDFQRSrbMsQhXTKg,ChIJ0a6bbV7gtYcRKg0_Lhc6LSo,,,,,,,,,,,,,,,,,,
Women Helping Women,ChIJN8qptFmxQYgRrOY4iJ_4Fps,ChIJN8qptFmxQYgRrOY4iJ_4Fps,,,,,,,,,,,,,,,,,,,
Women and Children's Horizons,ChIJu9LRKjdeBYgRTn8KTB5T_AE,ChIJu9LRKjdeBYgRTn8KTB5T_AE,,,,,,,,,,,,,,,,,,,
Womanhealth,ChIJA_6d1JfQsokRUdKHs9UXoxA,ChIJA_6d1JfQsokRUdKHs9UXoxA,ChIJDUyrW2P4Y4gRFwMgdlzvFjo,ChIJ32n3TdyFxokR5q1eTbgrmc8,ChIJCYa-G7KtGYgRZ9QA-BRN0Fk,ChIJ3UX_H-NiToYR7YdX25jjCck,ChIJXUSqfqx7xVQRzEK5_umw4BM,ChIJhdtbXozswIcReuwEFDQ25-4,ChIJRwEY93oQqYkRXg3yO3hecSM,ChIJZcCuCU_vZYgRTNg5o-kUduE,ChIJCVrBl3vh84gR4sT4yyUP5sA,ChIJy0KAMPUQyYcRUuTdYBaQZis,ChIJXfnK586NtocRL4eC41u8icc,ChIJz4gaBivrwIcR_fwQpuFj9qU,ChIJ2XXR0q9Y1oARJcCIKJNxSyc,ChIJSVB26MDNvYcRt8jbVyNT_Dk,ChIJeTJ2q4aAbIcRLpkQDNtMLKI,ChIJI6BY_SRPVVMRtENbN0yIPUk,ChIJGZ8FZWFXrlQRjjVKYOmJE_Y,ChIJwwg20QhX0IcR_w67s5gbxQk,ChIJ74fVw5HTNoYRE3iL-VXP6oM
"WOMAN, Inc.",ChIJX4vBlyF-j4ARX9IqPvwj1XQ,ChIJX4vBlyF-j4ARX9IqPvwj1XQ,,,,,,,,,,,,,,,,,,,
Wolfson and Kelin LLP,ChIJJXUF-BiDwokRdVmq6AumXUY,ChIJJXUF-BiDwokRdVmq6AumXUY,,,,,,,,,,,,,,,,,,,
"Wladislaw Ellis, MD",ChIJDa4O1Kd-hYAR8rFvrhXpc68,ChIJDa4O1Kd-hYAR8rFvrhXpc68,,,,,,,,,,,,,,,,,,,
"With Love, From Strangers",ChIJobIXV4zcUo4RjLObDfu9d9E,ChIJobIXV4zcUo4RjLObDfu9d9E,,,,,,,,,,,,,,,,,,,
Wishing Star Foundation - Spokane Chapter,ChIJxUKvPY8YnlQRtGsgK9zvuM0,ChIJxUKvPY8YnlQRtGsgK9zvuM0,,,,,,,,,,,,,,,,,,,
Wishing Star Foundation - Boise Chapter,ChIJrT7dH-T4rlQRtJy-6TmA1fk,ChIJrT7dH-T4rlQRtJy-6TmA1fk,ChIJK30RCaP4rlQRayhTe7gKRsk,ChIJ2YGi7vz4rlQRol28hiZiPXY,,,,,,,,,,,,,,,,,
WISH Center,ChIJQ4-j2UY034cR1sxTyar5uAo,ChIJQ4-j2UY034cR1sxTyar5uAo,ChIJO8G-eFT4L4gRK_Fpnbv18Dw,,,,,,,,,,,,,,,,,,
Winding Waters Clinic,ChIJIUMTBob5o1QRD7Cv1mrQ-a8,ChIJIUMTBob5o1QRD7Cv1mrQ-a8,ChIJZ7LPyvEHpFQRJpvaDs18dyU,ChIJx-hmAtvpo1QRBaLQfrpG_uI,,,,,,,,,,,,,,,,,
Wilson Medical Clinic - Peace Health,ChIJz_zp5p-llVQR_e1tOaBkZ9E,ChIJz_zp5p-llVQR_e1tOaBkZ9E,ChIJ9WZk3lwyK4gRidagTUpf6Y4,ChIJQYqHYpYgrIkR4u70fvM4cLo,ChIJwxFA3nujhVQRwntx75w7S2k,ChIJ8_FAQn1slFQRyNgDWPHuPD8,ChIJGaHtpUlthVQRkghRXAHLWQ8,ChIJ0QUx0VS7hVQRInTfBwqbr7c,ChIJaZt3PIl-j1QRY2i-XNi7ad8,ChIJiTENnnjhwFQR24WtlNqPjDQ,ChIJj3U8ZXFthVQRpx1ViVwQSU0,,,,,,,,,,
Willow Grove Home,ChIJK-RC32SxxokRN4JqsOp2gOY,ChIJK-RC32SxxokRN4JqsOp2gOY,ChIJB3gNYDYiVIgRpN4TwZH0Y0c,ChIJ_R_kzG_r_4cRngpOrnxHOtw,ChIJV5ZBbxVJZIgRmaZFNZwKeuI,ChIJQ3K8f3YxdYgR40uIBCsGRfs,ChIJfdInBZRM14kRfh6PpUcfY7w,ChIJ-fg5O_ZxlFQRgVjV11WHTak,ChIJqR-lemaxxokR7QstDaFpWyM,ChIJRRpCUTAwxokR6YKpuS_1A0E,ChIJfdi4UduvxokRWODySJJHpy8,ChIJDXLa6dWKNIgRDZ5LIXusnQ8,,,,,,,,,
Willow Creek Community Health Center,ChIJEY9asrd_TYcRyfxAcCB1GdI,ChIJEY9asrd_TYcRyfxAcCB1GdI,ChIJkdpE_jXY01QR6U-eTLlaKVo,,,,,,,,,,,,,,,,,,
William Sokol MD,ChIJB7yVUe_f3IAROYU6wdznGSg,ChIJB7yVUe_f3IAROYU6wdznGSg,ChIJkSuD8a_d3IARVVONs618kcA,,,,,,,,,,,,,,,,,,
"William R. Marshall, MD",ChIJC40lH1QoWIgR8urisz9fGeg,ChIJC40lH1QoWIgR8urisz9fGeg,ChIJJR4QXMx1V4gR24eZ5_P8eL4,ChIJIeSoq1WPOIgRheoDSFF850U,ChIJF9oiaUQ-kYgRefXEfi8zjsM,ChIJg8WEvQ6VuokRW2ogv-nGrwo,ChIJl_PWLHFZCogRheylrUCQoOU,,,,,,,,,,,,,,
William McCreight,ChIJKUcrWumtlVQRHAEIy2Eb6bY,ChIJKUcrWumtlVQRHAEIy2Eb6bY,ChIJ8VYgqQMpBocRnLiiRldWEkU,,,,,,,,,,,,,,,,,,
"William M. Palmer, M.D.",ChIJuZepDgjgAFQRUTSu-H5tvl4,ChIJuZepDgjgAFQRUTSu-H5tvl4,,,,,,,,,,,,,,,,,,,
William Longfellow MD,ChIJ-fC1H4392oARzg1Uh8w5fzU,ChIJ-fC1H4392oARzg1Uh8w5fzU,,,,,,,,,,,,,,,,,,,
William Hitt Center,,,,,,,,,,,,,,,,,,,,,
"William H. Anthes, MD",ChIJNYUNHduXyFYRzMa2GILhr9s,ChIJNYUNHduXyFYRzMa2GILhr9s,ChIJv3kSqkWWyFYRTGhRzqNxSa8,ChIJv3kSqkWWyFYRjF5k2jHp_4k,ChIJSSXnQBx8bIcR8LuuJ7vnCgU,ChIJIaDxMaaXyFYRHAcfCSIGIh0,ChIJLdyZqkWWyFYRTJW9RcYmB3M,ChIJv8eVbunElIARsS_gyG8YAFw,ChIJQxSv1fkyKIYR0a-Rq7LLopc,ChIJiV1ApQrBwoAR6oBKVZoh9Xc,ChIJ42sYMsWimoARvZ9ulDOdoEI,ChIJIYggy-nC6lQRIwvu0kEu5Sk,ChIJv3kSqkWWyFYRzl2kWbwONbA,ChIJJ4FbnzZ5bIcRs77T73VdliE,ChIJGcCH7bWhmoARO20Gry8KgfY,ChIJ__8PFxx8bIcR_H28okf9Hs4,ChIJf5kM0t1jxlYRdr22tiagYhs,ChIJkZG7VF6StocRzpTkZgqd8lQ,ChIJ4xOUycvVkIARBk9Dg8IiLPY,,
William Downey,ChIJZSHmCZGfVogRaP-zV7LcjzU,ChIJZSHmCZGfVogRaP-zV7LcjzU,ChIJ_____8S_yIARGuW-PeyLc10,,,,,,,,,,,,,,,,,,
William Bee Ririe Hospital Clinic,ChIJbfCizIessYARvI2rVBCcIGY,ChIJbfCizIessYARvI2rVBCcIGY,,,,,,,,,,,,,,,,,,,
William B. Ririe Hospital,ChIJbfCizIessYARvI2rVBCcIGY,ChIJbfCizIessYARvI2rVBCcIGY,,,,,,,,,,,,,,,,,,,
Willamette Valley Cancer Center,ChIJ_V-gtQcewVQR1LkCCw2vP2M,ChIJ_V-gtQcewVQR1LkCCw2vP2M,ChIJgZW7H1Q_wFQRS7vg7CPt6Sk,ChIJ3x5jD3fhwFQRkqE_SIemvI4,ChIJld4nd0drwFQRqT1mg1HtA5w,ChIJmR6yQbIqwlQRZVT_nFvHCcg,,,,,,,,,,,,,,,
Willamette Gynecologic Oncology,ChIJaSKktQcewVQRWMdy3K-TVWY,ChIJaSKktQcewVQRWMdy3K-TVWY,ChIJ_V-gtQcewVQR1LkCCw2vP2M,ChIJZ55fC20fwVQRTQCOsDCyMzo,ChIJOb8dp2kNlVQRQOgYdXwDxcE,ChIJgZW7H1Q_wFQRS7vg7CPt6Sk,ChIJgeUmEoLhwFQROG-KX-QW_yU,ChIJcReeeIOT6lQRozqJl9nwruI,ChIJld4nd0drwFQRqT1mg1HtA5w,ChIJ6Z7SkfoJlVQRUem5lB82fcc,ChIJ8VFrdP4JlVQRFXJPlufdIdM,ChIJJ_xuEoLhwFQRcEpZCU1Blic,ChIJmR6yQbIqwlQRZVT_nFvHCcg,ChIJsZ8YGNIfwVQRKsrNV0ODnn8,ChIJjSrsL3_hwFQRRm07L9TxBRo,ChIJtUlA__wdwVQRG6ajG-BJWAs,ChIJtUlA__wdwVQRbhepzqPoc14,ChIJ69RKNQYewVQRor6xcF6Of88,ChIJh-fheYPhwFQRAqBDLR3xfwo,ChIJxRWb-ErhwFQRtb8JHoSMJmU,ChIJX-4uLn_hwFQRDnc90nY2VBQ
Wilcox Hospital,ChIJt2MS8mEeB3wRbuyjWus6vhs,ChIJt2MS8mEeB3wRbuyjWus6vhs,ChIJudC9i2EeB3wRYuFGn1m_QqY,ChIJEdm0Vf8fB3wRBmwKTchZ5KM,,,,,,,,,,,,,,,,,
Whole Health Family Medicine Clinic,ChIJUeZPaMUCPIcR0cHiPHZLIuE,ChIJUeZPaMUCPIcR0cHiPHZLIuE,,,,,,,,,,,,,,,,,,,
White Raven Center Inc.,ChIJ1ReOiLiZyFYRhNh1CHGKL5E,ChIJ1ReOiLiZyFYRhNh1CHGKL5E,,,,,,,,,,,,,,,,,,,
White Mountain Safe House,ChIJ6ReenMg1L4cRvC_kTHUAADE,ChIJ6ReenMg1L4cRvC_kTHUAADE,,,,,,,,,,,,,,,,,,,
White Mountain Pediatrics,ChIJ0R1mMw3LKIcRlrxfqOH5f48,ChIJ0R1mMw3LKIcRlrxfqOH5f48,ChIJQQcvKgR1YIgRinkpinH0Pj8,ChIJNRba_fILs0wRuwooubwqMyo,ChIJMW5jpqqNW4gRvEdlv2tX5CE,ChIJJ5PxH0qPLYcRLzVSjW9elYo,ChIJW0jvyeDJKIcRk6lqWbfZ7bY,,,,,,,,,,,,,,
White Heart Foundation,ChIJC4-jpkIn6IARQs6eiTgXFu8,ChIJC4-jpkIn6IARQs6eiTgXFu8,,,,,,,,,,,,,,,,,,,
Wet Mountain Valley Community Clinic,ChIJf7wibdBcFIcRtaHuaTHxEnQ,ChIJf7wibdBcFIcRtaHuaTHxEnQ,,,,,,,,,,,,,,,,,,,
Westside Pediatrics,ChIJJT4ZEbzYQIYRUe3VLZrJiAY,ChIJJT4ZEbzYQIYRUe3VLZrJiAY,ChIJ0YwAffDJQYgRbSESwVN7lkw,ChIJlXycUFu7woAR8-Qmz231tjo,ChIJ37UCM7o0QIgROX9Rcm5DQAE,ChIJqUzkRUEPlVQRVdF7RqzmIRg,ChIJ9-MO8C2z1okRqlTnTuIbVTc,ChIJ-eWpBqLByIAR-MA_d6Tf6_c,ChIJPYkAN5rP3ocRo1suTvWeCFE,ChIJ3yJ6-WudV4gRN9f4KMHM_RA,ChIJR7Qigh_HO4gRSw8xn8c5I_0,ChIJWTP5lPcm9YgRa0y87CQquH4,ChIJMfNxxpxYwokRPT1Vi-EcwJg,ChIJPYkAN5rP3ocReYvMwo6JXoc,ChIJgxHo-SxXwokR9YZQNKJTuiE,ChIJ5XX6r9FKQIgRSgZYSQQ2qRw,ChIJd2zEYfGjIIYR-r42YtK7ygA,ChIJB4z-yDxDQogRUVHJchlfMCA,ChIJdzLznsBKQIgRYnGNLolu8es,ChIJlXycUFu7woAR5JdTRlltphQ,ChIJEyV9zm3TcYgRAlugSWH0Q6Y
Westside Center for Independant Living,ChIJAQAAAN-6woAROrJcEg1w03M,ChIJAQAAAN-6woAROrJcEg1w03M,ChIJPUNVPDONUocRPPvUZPw4Mt8,ChIJV4dKDvW6woAR4-bZ07mQzJQ,ChIJ5eFQnfj23YcRVMKMAc7f2P4,ChIJbXpK8S3fxIkRP5OUS7y53o8,ChIJdzi9GYSl-IgR5DLmqQP8JuQ,ChIJCaGEREi6woARLpIDlZVEs4o,ChIJqU7ARFO3woARPV7P1yFh3z8,ChIJ14DvV3S_kIgRbneYZyuKYig,ChIJ2ec1moMUK4cRetfjsh-ouMQ,,,,,,,,,,
Westfield Eye Center,ChIJyzMXkrIf54kRTU_3uQMasjM,ChIJyzMXkrIf54kRTU_3uQMasjM,,,,,,,,,,,,,,,,,,,
Western Washington Medical Group,ChIJSdIwqoAAkFQRd9FkgiC1lis,ChIJSdIwqoAAkFQRd9FkgiC1lis,ChIJyyLiPPIGkFQRt8lEA6aZdlo,ChIJDzLrOYRThVQR4Z3ZoRlUZt4,ChIJsYRXKbGqmlQRpd5AXJg7z-s,ChIJsYRXKbGqmlQRzQC5n1mwUhs,ChIJyyLiPPIGkFQRD8ApUvnzU78,ChIJtYCOARMPkFQRoxMkV-2ruP8,ChIJSXNCZaJPhVQRqJRfUz8dB8w,ChIJeb9UUkEEkFQRyC_CIJ7h2Ck,ChIJu5gYIvIGkFQRe6dtO0W6YLI,ChIJyyLiPPIGkFQRqP5qfBNF_r0,ChIJw0bnXIGqmlQRYuh96qXnBuM,ChIJ8XPOw52qmlQRvKjsWL257sA,ChIJZ6B6eJyqmlQR8cFzZFTrkQs,ChIJb-LrEH4AkFQRDoKZ6zp7VJY,ChIJOS3sTvIGkFQROauSN1GYK30,ChIJSXOANUNThVQR8E8WNMw8cUY,ChIJtwuMrEAHkFQRx0cyIHjyOuI,ChIJOS3sTvIGkFQRAYJhj29ZA6Q,ChIJu5gYIvIGkFQR5bOm-5BQMEA
Western Vascular Institute,ChIJP-c0Z-qvK4cRMjMlMEnNIk8,ChIJP-c0Z-qvK4cRMjMlMEnNIk8,ChIJY5XxSYOvK4cR_oLzGech9KI,,,,,,,,,,,,,,,,,,
Western Tumor Medical Group,ChIJv6LRfQa0woAROLQT5dxeFE0,ChIJv6LRfQa0woAROLQT5dxeFE0,ChIJQ26cz822j4ARgRqliFh4-V8,,,,,,,,,,,,,,,,,,
Western Regional Medical Center,ChIJjcCca5ZBzoARea2uXfuNK1E,ChIJjcCca5ZBzoARea2uXfuNK1E,ChIJ8TTTWpM4K4cRPXqN_HIQBr4,,,,,,,,,,,,,,,,,,
Western Orthopaedics,ChIJVf43BjR5bIcRLGRrBNmXAIk,ChIJVf43BjR5bIcRLGRrBNmXAIk,ChIJwRZETU-Ja4cRwbcIvGCjtwI,ChIJozWf9kscR4cRMhdqtfcQyq4,ChIJQ1Kkwc13bIcRai5jDsuOaEY,ChIJ_-o2ATR5bIcRY8ee7ZPAdEI,ChIJnXHVlNA5dYgRU7O08ynGDeg,ChIJYQFW3oRQP4cRY9vKg9U29oE,,,,,,,,,,,,,
Western Neurosurgery,ChIJUczVaxpu1oYRx_P30kJ_ewo,ChIJUczVaxpu1oYRx_P30kJ_ewo,ChIJ-wBuSApv1oYRZtGbhWEB7ig,,,,,,,,,,,,,,,,,,
Western MT Clinic,ChIJvylWi4DOXVMRj0jhb3Jlc1s,ChIJvylWi4DOXVMRj0jhb3Jlc1s,ChIJ0c9oCI3NXVMRZhhel1aS-hQ,ChIJAevcEAzSXVMR-vJJD9r6bBE,ChIJmao1LfPNXVMR-Q0RVuP9-3s,,,,,,,,,,,,,,,,
Western Montana Mental Health Center,ChIJtbDXd3fOXVMR80MFLHtUhC0,ChIJtbDXd3fOXVMR80MFLHtUhC0,ChIJtbDXd3fOXVMRrdyiojtNjoQ,ChIJdwLDs1pERVMR2I84KZ8Nllc,ChIJqXMnw0a3XlMRvnvHyfBqn8Q,ChIJTVIc7RTSXVMRFaxilZ6YUEc,ChIJr3khRLQJW1MRxvXukSLux7w,ChIJ_W8QYDyzYFMROq8YtGVaHdM,ChIJr3khRLQJW1MRi4wpwpI6ytw,ChIJk0uIycuQW1MRGdIAGv5Cx6U,,,,,,,,,,,
Western Montana Clinic,ChIJvylWi4DOXVMRj0jhb3Jlc1s,ChIJvylWi4DOXVMRj0jhb3Jlc1s,,,,,,,,,,,,,,,,,,,
Western Medical Center,ChIJqxlxPcriw4cRzuPTQTlKXYc,ChIJqxlxPcriw4cRzuPTQTlKXYc,ChIJjcCca5ZBzoARea2uXfuNK1E,ChIJvyu_IdR3ToYRbCPdJwHy4v4,ChIJEUGP88zX3IARdH84bNxbZGE,ChIJfZvX20Ep3YAROaNeDxI_FBs,ChIJ34AphJm4woARa_Mn5jNg11Q,ChIJ8TTTWpM4K4cRPXqN_HIQBr4,ChIJZV41h37Z3IARtkcblZaX7QU,ChIJ6XotlZaGa4cRDESO4hH52Ek,ChIJiZN-R9K3woAR3JCUUhwZWPQ,ChIJK1AQN7yGa4cRhL8W5AtP5yI,ChIJI53P0-BAzoARudotKLjgddU,ChIJnf2dEeUb2YgRwrV4-4Q3wR8,ChIJ4YJt4fktw4ARUBEjWuHh6W8,ChIJ28Mb51YRsocRo47oTkzIPLE,ChIJg7fM4aXvLogRB3xbEx14XQU,ChIJ-e4hXVctw4ARm1sQy5_mrMc,ChIJpwO687bhiIgR6MAi_b8EPhA,ChIJe2PibvjRD4gRmU9JaKpD5q4,ChIJsVYwbH7Z3IARM24az3UgkD8
Western Medical,ChIJqxlxPcriw4cRzuPTQTlKXYc,ChIJqxlxPcriw4cRzuPTQTlKXYc,ChIJ8Qyc5BnFqIcR4_vy--oAz58,ChIJ-YMcaSfBwoARL8GSp7oef6s,ChIJd6tzsdwTsocRMzGqi2DmzH4,ChIJK1AQN7yGa4cRhL8W5AtP5yI,ChIJd6ypW6IOkFQR2WLus4v-tog,ChIJ34AphJm4woARa_Mn5jNg11Q,ChIJ4ewn5FwaU1MRvhcEkaIjwiM,ChIJ6ZHP2Q4ZnlQRp0Y8M3CSgtM,ChIJEUGP88zX3IARdH84bNxbZGE,ChIJ6XotlZaGa4cRDESO4hH52Ek,ChIJI53P0-BAzoARudotKLjgddU,ChIJZZkh-b5ykIARQZWaVb8Em9E,ChIJiZN-R9K3woAR3JCUUhwZWPQ,ChIJ8TTTWpM4K4cRPXqN_HIQBr4,ChIJe2PibvjRD4gRmU9JaKpD5q4,ChIJxQ-tQ664woARTYPhPPWFg30,ChIJd41yhhbIwoARvCowmdyPPgU,ChIJ-e4hXVctw4ARm1sQy5_mrMc,ChIJ4YJt4fktw4ARUBEjWuHh6W8
Western Dental & Orthodontics,ChIJb0QQ43q4woARCKxH3C2WaSU,ChIJb0QQ43q4woARCKxH3C2WaSU,ChIJU_CaPLmb3IARKC0zLoLUCQY,ChIJx18zbbdMw4ARbSE0uiW8UEI,ChIJyRAjJ6jIwoARDinmafW_t0s,ChIJ9cDtBXBNw4ARQHJe97RLtjs,ChIJAQAASQDW3IARD0PeTelSboQ,ChIJTdEfGCVS2YARpta70fq_YFY,ChIJnfw2kc1rK4cRh9F_Oxry-Ds,ChIJZVh-ot5B6oARGo5826-fUGw,ChIJpXwfaEFv1oYRv_st_laZ8sc,ChIJcdPZNEd-j4ARaLM-dU3v8HU,ChIJX-Fc83EVK4cRyUp7VqZN9xw,ChIJ4V0cL7nbmoAR_Z_9yI1Z0kg,ChIJt3lxcB0zw4ARWjY4R8-vZ-c,ChIJMSK8fuPHwoARqy5yOtDOZAA,ChIJ20rT9VgA3IARAW_PIakaiiQ,ChIJC7AZUkhw1oYReM6srKotUAs,ChIJqabWeqC4woARmnP0OU5zwz4,ChIJG7zYZrNg14AR6FXdEwMRtOg,ChIJGaTfv1Oij4ARHPJXkiTJba8
Western Colorado Pediatric Associates,ChIJk_w8ubYdR4cR8s7SGjPEr3A,ChIJk_w8ubYdR4cR8s7SGjPEr3A,ChIJZR40-5L-RocRCYITGH6CHN4,,,,,,,,,,,,,,,,,,
Western Cardiology,ChIJDf8Ub_92bIcRi0XnvXKI2CY,ChIJDf8Ub_92bIcRi0XnvXKI2CY,ChIJ-VL_rMCEbIcRk5exFQocM8w,,,,,,,,,,,,,,,,,,
West Women's and Children's Shelter,ChIJAQAAxP8JlVQRMX4A_11RkKw,ChIJAQAAxP8JlVQRMX4A_11RkKw,,,,,,,,,,,,,,,,,,,
West View Family Medicine,ChIJtRpWMr1rK4cRjDajqM7txTE,ChIJtRpWMr1rK4cRjDajqM7txTE,ChIJcUJqiLM4K4cRbBAyCI-dGHs,ChIJ3a59URRvK4cRJOpsDhMOW_w,ChIJqT42O9kSK4cR3rqw6f8-IL4,,,,,,,,,,,,,,,,
West Valley family Health,ChIJi0i5nTJjl1QRR2TEKJ0CNB4,ChIJi0i5nTJjl1QRR2TEKJ0CNB4,,,,,,,,,,,,,,,,,,,
West Valley Family Church of the Navaren,ChIJg8AINzpAK4cRDyIJDMwzOw4,ChIJg8AINzpAK4cRDyIJDMwzOw4,,,,,,,,,,,,,,,,,,,
West Texas VA Health Care System,ChIJeZtV91Ai-YYRxwlbC43iOzg,ChIJeZtV91Ai-YYRxwlbC43iOzg,ChIJyaR04lAi-YYRt0GJvpa0JAs,,,,,,,,,,,,,,,,,,
West Texas Cancer Center,ChIJeetsImHJ-4YRx5X93Bf5SV8,ChIJeetsImHJ-4YRx5X93Bf5SV8,,,,,,,,,,,,,,,,,,,
West Salem Family Practice Associates,ChIJMXmaW6L_v1QRWXeQi2aCh7c,ChIJMXmaW6L_v1QRWXeQi2aCh7c,,,,,,,,,,,,,,,,,,,
West LA VA Medical Center,ChIJlXZ7aGO7woARyDPcf0c0GM4,ChIJlXZ7aGO7woARyDPcf0c0GM4,,,,,,,,,,,,,,,,,,,
West Kauai Clinic,ChIJ0wX-jgiqB3wRSB4SucGIyjQ,ChIJ0wX-jgiqB3wRSB4SucGIyjQ,ChIJW4Yazh3hBnwRb9sq9k4cF6Y,ChIJ0wX-jgiqB3wRMZ0Y6001hC8,ChIJ8b1Ik1cEB3wRB72KdKD6Z40,ChIJxZMsDW0GB3wRQ-Eml2zZekc,ChIJa-BNkuGpB3wRvCh2H-HFSv4,ChIJreORVD4GB3wRV_6oaMEKZLQ,,,,,,,,,,,,,
West Idaho Orthopedics,ChIJE2KnB0G0r1QRlGOMthMFokg,ChIJE2KnB0G0r1QRlGOMthMFokg,ChIJO3ahwLVWrlQRhAUJVwteKK0,ChIJUw3fm_KPr1QRzsD-prHLaFM,,,,,,,,,,,,,,,,,
West Hills Medical,ChIJmcgprrOdwoARy9-7nHbZBtY,ChIJmcgprrOdwoARy9-7nHbZBtY,ChIJryWLrkZDk4ARzpzFAA3P82A,ChIJ1zfGiRBJlVQRv5fulk5eN6U,ChIJyynaEbOdwoAR8X9lxr3bzos,ChIJyVy3rLOdwoAR92oLtCzER_I,ChIJx1Kxs12cwoARjXDq-2RmDEw,ChIJmcgprrOdwoARv3GhW93JLMQ,ChIJDZxco0GdwoAR6cuYSPI4TmA,ChIJjb3enQidwoAR8TeEOl_u0SI,ChIJGYjAMrKdwoARAuW4WxWhOPE,ChIJo0HVrEedwoARuEInDmHkNZs,ChIJ-Q1-MrKdwoARR8H5H2NkOQQ,ChIJCzTthLOdwoARbTH0KrlafcM,ChIJ1-nznbOdwoAR1Eq1G7D3EVQ,ChIJg0oak4q1QYgRlzxq85qrQy4,,,,,
West Hawaii Medical Group,ChIJW1Wt7EgPVHkRjCSfy-sKtDw,ChIJW1Wt7EgPVHkRjCSfy-sKtDw,,,,,,,,,,,,,,,,,,,
West Hawaii Community Health Center,ChIJkWvPcPwOVHkRbYWLj8-sSyg,ChIJkWvPcPwOVHkRbYWLj8-sSyg,ChIJFdGWVekGVHkRNss0jcFcpFI,ChIJLdVmrocOVHkRc-CbApx6NIM,ChIJf9OphOWHU3kRWsJxp12PLZ0,ChIJV57nUAAPVHkRnaaUt-QPC_U,ChIJO79qvNKcU3kRUInERnhBdN4,ChIJQ90kNBRjAHwRwzZkuh_QrwA,ChIJnSmVcdyJAHwRQP410DJrkPI,ChIJCYndq0RLUnkRZkm-bZLqKVI,ChIJ26moT_tlAHwRxMcHo6YXKQ0,ChIJ1V7zp8hGUXkR4HsZBruQ9KA,ChIJg3vLEo8OVHkRnL5Q5TMnOq4,ChIJB_YAp-8GVHkRjsMcobEWgAk,ChIJZcKu36tMUnkR5Iq8_BywINo,ChIJW1Wt7EgPVHkRjCSfy-sKtDw,ChIJcYz6BC1kAHwRIQL-0FU4p_E,ChIJM-LUE-8GVHkRaNMp4IxZot0,ChIJOYm7VeuHU3kREHV37KV96is,,
West Grand Family Medicine,ChIJf9zGi3mHa4cRC0dtcuL7Zes,ChIJf9zGi3mHa4cRC0dtcuL7Zes,,,,,,,,,,,,,,,,,,,
West Clinic,ChIJ9Wc6PVqDf4gRolVi3TapgHk,ChIJ9Wc6PVqDf4gRolVi3TapgHk,ChIJo_ifpsKJf4gRSFu7T9UaA0I,ChIJiQ1AzrDDfYgRFmmjsMha2s0,ChIJ15K1Onpsf4gRPANCU3axTk0,ChIJpcCsAt921YcRTI_npB-tHiE,ChIJgaVHaAV-1YcRQvOHTt11HVE,ChIJj6DPaAV-1YcRVrpzrp_Wlp8,ChIJF4v1gTiZf4gRyNRT3Zo-E0s,ChIJj6DPaAV-1YcR0hYCP5t13eY,ChIJb69syHn_v1QRqTAulID_B_U,ChIJAQDAmcKJf4gRIGN5_0zxjG0,ChIJs9K8bCX5IBURSo-4lkMP4WU,ChIJq1LZ-pObf4gRsc81oLVVHkY,ChIJlXsdizW6fYgRCADtQATkq3Q,ChIJ7cXp_ZuFf4gRqtAqDPRuiMc,ChIJ9Wc6PVqDf4gRTFnqxQet9ns,,,,
Wenatchee Valley Medical Center,ChIJPWD959HMm1QRCYAkMZ-eDMk,ChIJPWD959HMm1QRCYAkMZ-eDMk,,,,,,,,,,,,,,,,,,,
Wellspring Women's Center,ChIJd8TAP17QmoARqv_Q-e77ZyE,ChIJd8TAP17QmoARqv_Q-e77ZyE,,,,,,,,,,,,,,,,,,,
Wellspring Intergrative Medical Center,ChIJDSIvjZJzhlQRf6tstn2np_I,ChIJDSIvjZJzhlQRf6tstn2np_I,,,,,,,,,,,,,,,,,,,
Wellness Tree,ChIJ_9_Y7WurK4cRDViBlfuXksY,ChIJ_9_Y7WurK4cRDViBlfuXksY,ChIJ1bdmXXginlQRUBARyBvL0Zs,ChIJKWvkRNQjnlQRgyBdLIxnUVk,ChIJ-9dPHbgZnlQRYejyqxH2370,ChIJrR0lDgnywogROL5xQ1H4aSA,ChIJC71FP19cYIgRZRaXEfX8X6c,ChIJ__9brietJIgR9bp2ltuqn_g,ChIJAQ2hqw0LAYgRHjxMlHgaFkg,ChIJ8dRoYUTy3gsRQ6DUzo5tn-4,ChIJkbwuyptEkFQR8ejAFJXcMFQ,ChIJ1yDHCGEhSIgRV_q4c2bfn9M,ChIJ9wzN19dxK4cRqFNew1tu3pw,ChIJU9odTDlZrIkRwG6dXA9mUp0,ChIJ__fTWyzBYVMRIOCj2Iqf3K4,ChIJB_IPf5NAwFQRExMZo2j3_1M,ChIJbxL-QvYy6IkREtcjXhypHto,,,,
Wellness Center Central,ChIJRSCrcLDZ3IAR-BPMQ5OBrPc,ChIJRSCrcLDZ3IAR-BPMQ5OBrPc,,,,,,,,,,,,,,,,,,,
